,date,Tmax,Normal of Tmax,Tmin,Normal of Tmin
0,01-01-22,28.8,28.9,13.4,11.3
1,02-01-22,29.2,28.9,15.7,11.3
2,03-01-22,29.7,28.9,14.5,11.3
3,04-01-22,29.4,28.9,14.2,11.3
4,05-01-22,30.7,28.9,13.5,11.3
5,06-01-22,29.7,29.1,13.8,11.0
6,07-01-22,30.5,29.1,14.6,11.0
7,08-01-22,30.3,29.1,13.5,11.0
8,09-01-22,27.7,29.1,18.5,11.0
9,10-01-22,29.3,29.1,12.0,11.0
10,11-01-22,27.1,29.8,11.5,11.2
11,12-01-22,26.2,29.8,11.4,11.2
12,13-01-22,25.4,29.8,12.1,11.2
13,14-01-22,27.1,29.8,13.8,11.2
14,15-01-22,26.7,29.8,13.3,11.2
15,16-01-22,26.5,29.9,12.1,11.3
16,17-01-22,27.2,29.9,14.5,11.3
17,18-01-22,30.7,29.9,13.0,11.3
18,19-01-22,31.5,29.9,12.2,11.3
19,20-01-22,31.8,29.9,11.7,11.3
20,21-01-22,31.8,30.2,11.1,11.2
21,22-01-22,28.0,30.2,12.9,11.2
22,23-01-22,24.3,30.2,17.2,11.2
23,24-01-22,25.4,30.2,10.4,11.2
24,25-01-22,26.3,30.2,8.5,11.2
25,26-01-22,26.5,30.4,9.4,11.3
26,27-01-22,27.2,30.4,9.8,11.3
27,28-01-22,27.6,30.4,9.3,11.3
28,29-01-22,29.1,30.4,8.6,11.3
29,30-01-22,31.7,30.4,8.9,11.3
30,31-01-22,32.8,30.4,10.3,11.3
31,01-02-22,32.9,31.0,9.9,12.0
32,02-02-22,33.6,31.0,10.6,12.0
33,03-02-22,31.1,31.0,10.1,12.0
34,04-02-22,29.1,31.0,13.1,12.0
35,05-02-22,30.8,31.4,10.3,12.0
36,06-02-22,32.2,31.4,11.0,12.0
37,07-02-22,32.6,31.4,12.9,12.0
38,08-02-22,32.1,31.4,14.8,12.0
39,09-02-22,30.4,31.4,12.0,12.0
40,10-02-22,29.8,31.6,12.4,12.4
41,11-02-22,29.6,31.6,12.1,12.4
42,12-02-22,31.1,31.6,12.2,12.4
43,13-02-22,31.5,31.6,13.3,12.4
44,14-02-22,31.6,31.6,13.3,12.4
45,15-02-22,32.1,32.3,11.5,12.9
46,16-02-22,30.3,32.3,12.3,12.9
47,17-02-22,31.5,32.3,13.7,12.9
48,18-02-22,33.5,32.3,12.8,12.9
49,19-02-22,33.1,32.3,14.6,12.9
50,20-02-22,33.6,33.3,13.0,13.4
51,21-02-22,34.3,33.3,11.6,13.4
52,22-02-22,35.4,33.3,12.5,13.4
53,23-02-22,35.7,33.3,14.7,13.4
54,24-02-22,34.9,33.3,15.9,13.4
55,25-02-22,34.6,33.9,15.3,13.6
56,26-02-22,34.7,33.9,14.5,13.6
57,27-02-22,34.9,33.9,15.8,13.6
58,28-02-22,34.2,33.9,14.1,13.6
59,01-03-22,34.9,33.9,13.6,13.6
60,02-03-22,34.8,34.2,14.9,14.7
61,03-03-22,35.5,34.2,16.2,14.7
62,04-03-22,35.0,34.2,15.8,14.7
63,05-03-22,35.2,34.2,15.6,14.7
64,06-03-22,34.1,34.2,16.1,14.7
65,07-03-22,34.6,34.6,16.9,14.7
66,08-03-22,34.3,34.6,18.3,14.7
67,09-03-22,33.3,34.6,18.3,14.7
68,10-03-22,33.1,34.6,19.3,14.7
69,11-03-22,34.1,34.6,17.5,14.7
70,12-03-22,34.6,34.9,16.4,15.7
71,13-03-22,35.4,34.9,16.2,15.7
72,14-03-22,35.8,34.9,14.8,15.7
73,15-03-22,37.5,34.9,14.5,15.7
74,16-03-22,38.1,34.9,15.9,15.7
75,17-03-22,39.1,36.4,16.8,16.4
76,18-03-22,39.0,36.4,16.9,16.4
77,19-03-22,39.1,36.4,18.7,16.4
78,20-03-22,37.8,36.4,21.7,16.4
79,21-03-22,37.2,36.4,21.1,16.4
80,22-03-22,37.6,36.7,19.8,17.0
81,23-03-22,37.6,36.7,18.3,17.0
82,24-03-22,37.8,36.7,22.3,17.0
83,25-03-22,37.4,36.7,23.4,17.0
84,26-03-22,37.7,36.7,22.2,17.0
85,27-03-22,38.6,37.2,20.5,17.8
86,28-03-22,39.7,37.2,19.8,17.8
87,29-03-22,39.5,37.2,19.6,17.8
88,30-03-22,39.5,37.2,17.6,17.8
89,31-03-22,38.7,37.2,15.9,17.8
90,01-04-22,39.2,37.3,14.5,18.2
91,02-04-22,39.7,37.3,15.6,18.2
92,03-04-22,39.8,37.3,19.4,18.2
93,04-04-22,38.9,37.3,19.9,18.2
94,05-04-22,39.3,37.3,21.3,18.2
95,06-04-22,40.1,37.4,21.4,19.1
96,07-04-22,40.1,37.4,21.3,19.1
97,08-04-22,40.1,37.4,21.4,19.1
98,09-04-22,38.7,37.4,22.9,19.1
99,10-04-22,38.6,37.4,23.7,19.1
100,11-04-22,39.1,37.8,23.1,19.7
101,12-04-22,38.1,37.8,20.8,19.7
102,13-04-22,38.9,37.8,21.3,19.7
103,14-04-22,39.5,37.8,20.7,19.7
104,15-04-22,38.0,37.8,23.7,19.7
105,16-04-22,39.4,38.0,20.2,20.4
106,17-04-22,39.2,38.0,21.9,20.4
107,18-04-22,38.8,38.0,22.5,20.4
108,19-04-22,37.7,38.0,21.6,20.4
109,20-04-22,39.6,38.0,24.2,20.4
110,21-04-22,37.6,38.2,24.0,20.7
111,22-04-22,39.4,38.2,21.7,20.7
112,23-04-22,38.8,38.2,21.6,20.7
113,24-04-22,37.1,38.2,25.3,20.7
114,25-04-22,39.1,38.2,21.7,20.7
115,26-04-22,40.1,38.7,23.3,21.5
116,27-04-22,41.3,38.7,21.1,21.5
117,28-04-22,41.8,38.7,21.3,21.5
118,29-04-22,40.7,38.7,25.4,21.5
119,30-04-22,38.6,38.7,21.6,21.5
120,01-05-22,38.4,38.5,20.5,21.6
121,02-05-22,37.9,38.5,22.6,21.6
122,03-05-22,37.8,38.5,20.7,21.6
123,04-05-22,38.4,38.5,22.0,21.6
124,05-05-22,39.6,38.5,22.1,21.6
125,06-05-22,39.3,38.0,19.9,22.6
126,07-05-22,39.6,38.0,20.4,22.6
127,08-05-22,40.7,38.0,21.4,22.6
128,09-05-22,38.6,38.0,26.1,22.6
129,10-05-22,37.7,38.0,25.7,22.6
130,11-05-22,36.3,37.5,24.6,22.3
131,12-05-22,33.7,37.5,25.6,22.3
132,13-05-22,36.7,37.5,25.3,22.3
133,14-05-22,37.1,37.5,24.1,22.3
134,15-05-22,37.6,37.5,23.2,22.3
135,16-05-22,40.8,36.9,24.2,23.4
136,17-05-22,38.1,36.9,24.3,23.4
137,18-05-22,38.1,36.9,22.9,23.4
138,19-05-22,38.0,36.9,24.6,23.4
139,20-05-22,32.6,36.9,24.3,23.4
140,21-05-22,34.6,36.6,24.3,23.7
141,22-05-22,34.6,36.6,24.2,23.7
142,23-05-22,34.7,36.6,24.9,23.7
143,24-05-22,35.2,36.6,24.9,23.7
144,25-05-22,36.2,36.6,24.3,23.7
145,26-05-22,36.1,36.3,23.1,23.8
146,27-05-22,35.1,36.3,22.9,23.8
147,28-05-22,34.4,36.3,23.0,23.8
148,29-05-22,34.9,36.3,23.2,23.8
149,30-05-22,35.6,36.3,23.0,23.8
150,31-05-22,37.2,35.7,23.4,23.6
151,01-06-22,34.6,35.7,24.8,23.6
152,02-06-22,35.7,35.7,24.3,23.6
153,03-06-22,36.9,35.7,23.6,23.6
154,04-06-22,36.7,35.7,23.8,23.6
155,05-06-22,38.4,34.3,23.9,23.4
156,06-06-22,35.1,34.3,24.8,23.4
157,07-06-22,34.4,34.3,24.8,23.4
158,08-06-22,35.6,34.3,24.8,23.4
159,09-06-22,35.3,34.3,23.1,23.4
160,10-06-22,36.0,32.4,22.8,23.3
161,11-06-22,31.5,32.4,23.8,23.3
162,12-06-22,32.9,32.4,23.6,23.3
163,13-06-22,34.5,32.4,23.7,23.3
164,14-06-22,34.3,32.4,23.5,23.3
165,15-06-22,34.5,30.9,23.0,22.9
166,16-06-22,34.4,30.9,23.5,22.9
167,17-06-22,33.0,30.9,23.7,22.9
168,18-06-22,34.2,30.9,23.9,22.9
169,19-06-22,32.3,30.9,23.4,22.9
170,20-06-22,28.1,30.4,23.7,23.0
171,21-06-22,29.3,30.4,22.6,23.0
172,22-06-22,31.8,30.4,22.9,23.0
173,23-06-22,30.6,30.4,22.7,23.0
174,24-06-22,30.9,30.4,22.6,23.0
175,25-06-22,31.8,29.7,23.6,22.8
176,26-06-22,31.4,29.7,24.3,22.8
177,27-06-22,29.1,29.7,23.8,22.8
178,28-06-22,29.5,29.7,22.5,22.8
179,29-06-22,32.7,29.7,23.2,22.8
180,30-06-22,31.4,29.2,22.6,22.7
181,01-07-22,27.7,29.2,21.8,22.7
182,02-07-22,29.1,29.2,22.8,22.7
183,03-07-22,30.4,29.2,22.7,22.7
184,04-07-22,30.0,29.2,22.5,22.7
185,05-07-22,28.1,29.0,21.9,22.6
186,06-07-22,25.8,29.0,22.1,22.6
187,07-07-22,25.6,29.0,22.1,22.6
188,08-07-22,27.2,29.0,22.3,22.6
189,09-07-22,26.3,29.0,22.2,22.6
190,10-07-22,25.9,28.6,22.2,22.5
191,11-07-22,25.9,28.6,21.8,22.5
192,12-07-22,24.2,28.6,21.2,22.5
193,13-07-22,23.1,28.6,20.2,22.5
194,14-07-22,25.8,28.6,21.3,22.5
195,15-07-22,25.6,28.3,21.4,22.4
196,16-07-22,27.5,28.3,21.8,22.4
197,17-07-22,28.6,28.3,22.2,22.4
198,18-07-22,24.9,28.3,22.4,22.4
199,19-07-22,28.6,28.3,21.9,22.4
200,20-07-22,28.1,28.0,21.5,22.3
201,21-07-22,28.6,28.0,21.7,22.3
202,22-07-22,28.8,28.0,21.9,22.3
203,23-07-22,27.1,28.0,22.1,22.3
204,24-07-22,25.9,28.0,21.3,22.3
205,25-07-22,28.6,27.6,21.9,22.1
206,26-07-22,26.8,27.6,21.9,22.1
207,27-07-22,31.3,27.6,21.6,22.1
208,28-07-22,32.4,27.6,21.4,22.1
209,29-07-22,31.5,27.6,23.4,22.1
210,30-07-22,31.7,27.5,23.1,21.9
211,31-07-22,31.7,27.5,22.7,21.9
212,01-08-22,31.2,27.5,21.9,21.9
213,02-08-22,30.7,27.5,21.9,21.9
214,03-08-22,32.1,27.5,22.9,21.9
215,04-08-22,32.3,27.3,21.5,21.9
216,05-08-22,31.1,27.3,22.6,21.9
217,06-08-22,29.6,27.3,21.2,21.9
218,07-08-22,30.9,27.3,22.2,21.9
219,08-08-22,26.6,27.3,21.6,21.9
220,09-08-22,25.2,27.4,21.7,21.9
221,10-08-22,26.7,27.4,21.4,21.9
222,11-08-22,27.6,27.4,22.0,21.9
223,12-08-22,26.8,27.4,22.4,21.9
224,13-08-22,27.7,27.4,21.7,21.9
225,14-08-22,27.5,27.6,21.9,21.8
226,15-08-22,26.8,27.6,21.9,21.8
227,16-08-22,26.5,27.6,20.7,21.8
228,17-08-22,28.2,27.6,21.8,21.8
229,18-08-22,28.8,27.6,21.7,21.8
230,19-08-22,27.6,28.4,21.5,21.6
231,20-08-22,27.8,28.4,21.7,21.6
232,21-08-22,28.4,28.4,21.6,21.6
233,22-08-22,28.1,28.4,21.7,21.6
234,23-08-22,28.3,28.4,22.4,21.6
235,24-08-22,27.5,28.2,22.0,21.4
236,25-08-22,29.2,28.2,21.7,21.4
237,26-08-22,30.8,28.2,21.0,21.4
238,27-08-22,29.6,28.2,19.8,21.4
239,28-08-22,30.5,28.2,19.5,21.4
240,29-08-22,30.3,28.2,20.6,21.4
241,30-08-22,32.6,28.2,21.7,21.4
242,31-08-22,34.6,28.2,23.3,21.4
243,01-09-22,32.6,28.2,20.8,21.4
244,02-09-22,33.1,28.2,22.4,21.4
245,03-09-22,34.4,28.6,22.4,21.2
246,04-09-22,31.8,28.6,23.2,21.2
247,05-09-22,31.6,28.6,22.6,21.2
248,06-09-22,32.4,28.6,22.0,21.2
249,07-09-22,29.6,28.6,22.4,21.2
251,09-09-22,31.9,29.0,22.6,21.0
252,10-09-22,31.2,29.0,23.4,21.0
253,11-09-22,32.9,29.0,23.0,21.0
254,12-09-22,30.5,29.0,21.9,21.0
255,13-09-22,26.2,29.5,22.2,20.9
256,14-09-22,27.4,29.5,21.8,20.9
257,15-09-22,29.6,29.5,21.7,20.9
258,16-09-22,24.1,29.5,21.9,20.9
259,17-09-22,29.7,29.5,20.7,20.9
260,18-09-22,27.8,29.5,21.1,20.9
261,19-09-22,26.6,29.5,20.3,20.9
262,20-09-22,24.8,29.5,21.1,20.9
263,21-09-22,26.7,29.5,19.7,20.9
264,22-09-22,28.7,29.5,20.8,20.9
265,23-09-22,28.1,30.5,20.0,20.9
266,24-09-22,30.1,30.5,19.6,20.9
267,25-09-22,29.0,30.5,21.7,20.9
268,26-09-22,27.0,30.5,20.8,20.9
269,27-09-22,30.4,30.5,21.8,20.9
270,28-09-22,28.8,30.9,21.6,21.0
271,29-09-22,31.3,30.9,22.1,21.0
272,30-09-22,33.1,30.9,21.3,21.0
273,01-10-22,31.1,30.9,20.8,21.0
274,02-10-22,31.3,30.9,21.3,21.0
275,03-10-22,30.7,31.3,20.0,20.6
276,04-10-22,32.6,31.3,19.4,20.6
277,05-10-22,30.7,31.3,20.4,20.6
278,06-10-22,29.5,31.3,20.5,20.6
279,07-10-22,28.5,31.3,21.3,20.6
280,08-10-22,27.5,31.9,21.8,20.4
281,09-10-22,31.7,31.9,18.8,20.4
282,10-10-22,31.7,31.9,21.4,20.4
283,11-10-22,31.2,31.9,21.2,20.4
284,12-10-22,28.2,31.9,21.4,20.4
285,13-10-22,27.4,31.6,20.8,19.5
286,14-10-22,30.6,31.6,21.4,19.5
287,15-10-22,29.6,31.6,20.0,19.5
288,16-10-22,28.5,31.6,19.1,19.5
289,17-10-22,30.6,31.6,22.3,19.5
290,18-10-22,30.8,31.6,19.7,18.7
291,19-10-22,32.3,31.6,21.0,18.7
292,20-10-22,31.7,31.6,21.8,18.7
293,21-10-22,29.4,31.6,21.9,18.7
294,22-10-22,28.6,31.6,22.4,18.7
295,23-10-22,29.8,31.5,15.8,17.2
296,24-10-22,30.8,31.5,14.4,17.2
297,25-10-22,31.1,31.5,13.7,17.2
298,26-10-22,30.4,31.5,14.3,17.2
299,27-10-22,29.8,31.5,14.3,17.2
300,28-10-22,29.7,31.5,13.8,15.9
301,29-10-22,30.3,31.5,13.3,15.9
302,30-10-22,30.6,31.5,12.6,15.9
303,31-10-22,30.0,31.5,13.4,15.9
304,01-11-22,29.2,31.5,13.3,15.9
305,02-11-22,30.8,31.3,15.1,16.0
306,03-11-22,31.7,31.3,13.1,16.0
307,04-11-22,31.1,31.3,13.0,16.0
308,05-11-22,31.6,31.3,13.0,16.0
309,06-11-22,31.6,31.3,12.7,16.0
310,07-11-22,32.1,31.0,13.2,15.8
311,08-11-22,32.0,31.0,13.6,15.8
312,09-11-22,31.2,31.0,15.8,15.8
313,10-11-22,30.6,31.0,12.8,15.8
314,11-11-22,30.7,31.0,12.8,15.8
315,12-11-22,30.6,30.7,13.4,15.4
316,13-11-22,30.4,30.7,13.3,15.4
317,14-11-22,31.7,30.7,13.9,15.4
318,15-11-22,31.7,30.7,15.4,15.4
319,16-11-22,31.6,30.7,14.3,15.4
320,17-11-22,30.5,30.4,12.9,15.0
321,18-11-22,29.3,30.4,11.2,15.0
322,19-11-22,28.1,30.4,11.3,15.0
323,20-11-22,28.3,30.4,9.7,15.0
324,21-11-22,28.9,30.4,8.8,15.0
325,22-11-22,31.4,30.3,11.2,14.3
326,23-11-22,31.5,30.3,14.4,14.3
327,24-11-22,31.8,30.3,14.9,14.3
328,25-11-22,32.6,30.3,15.9,14.3
329,26-11-22,32.0,30.3,19.1,14.3
330,27-11-22,31.9,30.3,18.1,13.9
331,28-11-22,32.6,30.3,17.1,13.9
332,29-11-22,32.3,30.3,15.0,13.9
333,30-11-22,30.6,30.3,14.3,13.9
334,01-12-22,29.7,30.3,11.9,13.9
335,02-12-22,31.6,30.0,11.1,13.5
336,03-12-22,31.1,30.0,14.9,13.5
337,04-12-22,32.1,30.0,18.4,13.5
338,05-12-22,32.2,30.0,18.5,13.5
339,06-12-22,31.0,30.0,17.0,13.5
340,07-12-22,31.0,29.6,14.0,11.9
341,08-12-22,28.7,29.6,14.7,11.9
342,09-12-22,29.1,29.6,9.4,11.9
